,title,desc,date,datetime,link,img,media,site,date2,proper_link
24,"AppleMoreApple introduces AirPods Max, the magic of AirPods in a stunning over-ear design",,"Dec 8, 2020",,news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIwLzEyL2FwcGxlLWludHJvZHVjZXMtYWlycG9kcy1tYXgtdGhlLW1hZ2ljLW9mLWFpcnBvZHMtaW4tYS1zdHVubmluZy1vdmVyLWVhci1kZXNpZ24v0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNUthMEZKUTBWaFdHeG1WRGhMVFJESkFSajdBU2dCTWdhZGM0cXNQUVU=-w200-h112-p-df,Apple,,2020-12-08,https://www.apple.com/newsroom/2020/12/apple-introduces-airpods-max-the-magic-of-airpods-in-a-stunning-over-ear-design/\xd2\x01\x00'
25,AppleMoreBehind the scenes at Scary Fast,,Oct 31,,news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzEwL2JlaGluZC10aGUtc2NlbmVzLWF0LXNjYXJ5LWZhc3QtYXBwbGVzLWtleW5vdGUtZXZlbnQtc2hvdC1vbi1pcGhvbmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNUllRkpFTUc1bVZGWXpaRGxaVFJDb0FSaXNBaWdCTWdZTmdaQnRMUWM=-w200-h112-p-df,Apple,,2024-10-31,https://www.apple.com/newsroom/2023/10/behind-the-scenes-at-scary-fast-apples-keynote-event-shot-on-iphone/\xd2\x01\x00'
26,"AppleMoreApple Card's new high-yield Savings account is now available, offering a 4.15 percent APY",,"Apr 17, 2023",,news.google.com/articles/CBMihQFodHRwczovL3d3dy5hcHBsZS5jb20vbmV3c3Jvb20vMjAyMy8wNC9hcHBsZS1jYXJkcy1uZXctaGlnaC15aWVsZC1zYXZpbmdzLWFjY291bnQtaXMtbm93LWF2YWlsYWJsZS1vZmZlcmluZy1hLTQtcG9pbnQtMTUtcGVyY2VudC1hcHkv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNXBRVlZOYzJac2FVRnBiQzFmVFJDb0FSaXNBaWdCTWdhaE00aHdxUVU=-w200-h112-p-df,Apple,,2023-04-17,x85\x01https://www.apple.com/newsroom/2023/04/apple-cards-new-high-yield-savings-account-is-now-available-offering-a-4-point-15-percent-apy/\xd2\x01\x00'
27,AppleMoreApple previews new features coming to Apple services this fall,,"Jun 7, 2023",,news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA2L2FwcGxlLXByZXZpZXdzLW5ldy1mZWF0dXJlcy1jb21pbmctdG8tYXBwbGUtc2VydmljZXMtdGhpcy1mYWxsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNVVYMlZST1ZoWGJIQkdkMUF0VFJDb0FSaXNBaWdCTWdZTlFvaXRwUVE=-w200-h112-p-df,Apple,,2023-06-07,https://www.apple.com/newsroom/2023/06/apple-previews-new-features-coming-to-apple-services-this-fall/\xd2\x01\x00'
28,AppleMoreApple expands Self Service Repair and updates System Configuration process,,"Jun 20, 2023",,news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA2L2FwcGxlLWV4cGFuZHMtc2VsZi1zZXJ2aWNlLXJlcGFpci1hbmQtdXBkYXRlcy1zeXN0ZW0tY29uZmlndXJhdGlvbi1wcm9jZXNzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNVpVRlZhVjI1WFFtZDJjVkF4VFJDakFSaTJBaWdCTWdhcGhaRE5zUVk=-w200-h112-p-df,Apple,,2023-06-20,https://www.apple.com/newsroom/2023/06/apple-expands-self-service-repair-and-updates-system-configuration-process/\xd2\x01\x00'
29,"AppleMoreApple introduces new Apple Pencil, bringing more value and choice to the lineup",,Oct 17,,news.google.com/articles/CBMidmh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzEwL2FwcGxlLWludHJvZHVjZXMtbmV3LWFwcGxlLXBlbmNpbC1icmluZ2luZy1tb3JlLXZhbHVlLWFuZC1jaG9pY2UtdG8tdGhlLWxpbmV1cC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iJ0NnNVFjRm8xYVVoMlRGaFRaR2M0VFJDb0FSaXNBaWdCTWdNaEFBdw=-w200-h112-p-df,Apple,,2024-10-17,https://www.apple.com/newsroom/2023/10/apple-introduces-new-apple-pencil-bringing-more-value-and-choice-to-the-lineup/\xd2\x01\x00'
30,AppleMoreApple services enrich peoples' lives throughout the year,,"Jan 10, 2022",,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIyLzAxL2FwcGxlLXNlcnZpY2VzLWVucmljaC1wZW9wbGVzLWxpdmVzLXRocm91Z2hvdXQtdGhlLXllYXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNWZkVjlYYUZCMWF6UTVSWGhJVFJDb0FSaXNBaWdCTWdZQklJak1zQVU=-w200-h112-p-df,Apple,,2022-01-10,https://www.apple.com/newsroom/2022/01/apple-services-enrich-peoples-lives-throughout-the-year/\xd2\x01\x00'
31,AppleMoreApp Store Awards celebrate the best apps and games of 2022,,"Nov 28, 2022",,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIyLzExL2FwcC1zdG9yZS1hd2FyZHMtY2VsZWJyYXRlLXRoZS1iZXN0LWFwcHMtYW5kLWdhbWVzLW9mLTIwMjIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNHRaa2RvTUVOcE1XRldZMWwzVFJDM0FSaVRBaWdCTWdZcGhaRE9NUVk=-w200-h112-p-df,Apple,,2022-11-28,https://www.apple.com/newsroom/2022/11/app-store-awards-celebrate-the-best-apps-and-games-of-2022/\xd2\x01\x00'
32,AppleMoreRedesigned Apple TV app elevates the viewing experience,,Dec 11,,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzEyL3JlZGVzaWduZWQtYXBwbGUtdHYtYXBwLWVsZXZhdGVzLXRoZS12aWV3aW5nLWV4cGVyaWVuY2Uv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNXNPVFJHUnpsdVYybG5SRUZGVFJDb0FSaXNBaWdCTWdhUlFvWXJKUWc=-w200-h112-p-df,Apple,,2024-12-11,https://www.apple.com/newsroom/2023/12/redesigned-apple-tv-app-elevates-the-viewing-experience/\xd2\x01\x00'
33,AppleMoreApple unveils new MacBook Pro featuring M3 chips,,Oct 30,,news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzEwL2FwcGxlLXVudmVpbHMtbmV3LW1hY2Jvb2stcHJvLWZlYXR1cmluZy1tMy1jaGlwcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iJ0NnNDVSMFoxZVdocmJ6VnpXbXRTVFJDb0FSaXNBaWdCTWdNWmd4SQ=-w200-h112-p-df,Apple,,2024-10-30,https://www.apple.com/newsroom/2023/10/apple-unveils-new-macbook-pro-featuring-m3-chips/\xd2\x01\x00'
34,AppleMoreApple to host annual Worldwide Developers Conference June 3-7 in San Jose,,"Mar 14, 2019",,news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDE5LzAzL2FwcGxlLXRvLWhvc3QtYW5udWFsLXdvcmxkd2lkZS1kZXZlbG9wZXJzLWNvbmZlcmVuY2UtanVuZS0zLTctaW4tc2FuLWpvc2Uv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNUNaekJaZDJob1lVNDNUWGRLVFJDb0FSaXNBaWdCTWdhcFZKQ3RKUWM=-w200-h112-p-df,Apple,,2019-03-14,https://www.apple.com/newsroom/2019/03/apple-to-host-annual-worldwide-developers-conference-june-3-7-in-san-jose/\xd2\x01\x00'
35,AppleMoreiPhone 15 and iPhone 15 Plus,,Sep 12,,news.google.com/articles/CBMiIGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9pcGhvbmUtMTUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNTJXamRQUm5wRmRraHlVbVJGVFJDSUFSanlBaWdCTWdZcEZZck9uUVE=-w200-h112-p-df,Apple,,2024-09-12,https://www.apple.com/iphone-15/\xd2\x01\x00'
36,"AppleMoreApple News launches new audio features, expands local news offerings for readers",,"Jul 15, 2020",,news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIwLzA3L2FwcGxlLW5ld3MtbGF1bmNoZXMtbmV3LWF1ZGlvLWZlYXR1cmVzLWV4cGFuZHMtbG9jYWwtbmV3cy1vZmZlcmluZ3MtZm9yLXJlYWRlcnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iL0NnNTROSFZSU0RSRVNtc3RWa1oxVFJEVkFSanNBU2dCTWdrTk1vb0dJZW1ocmdF=-w200-h112-p-df,Apple,,2020-07-15,https://www.apple.com/newsroom/2020/07/apple-news-launches-new-audio-features-expands-local-news-offerings-for-readers/\xd2\x01\x00'
37,AppleMoreiOS 17 is available today,,Sep 18,,news.google.com/articles/CBMiQWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2lvcy0xNy1pcy1hdmFpbGFibGUtdG9kYXkv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iL0NnNWtaV293U0ZVd2FUbDVRVFk1VFJDb0FSaXNBaWdCTWdrTlVvckdLbWRGS2dJ=-w200-h112-p-df,Apple,,2024-09-18,https://www.apple.com/newsroom/2023/09/ios-17-is-available-today/\xd2\x01\x00'
